Num total points:157;
Min_size:54;
Max_size:170;
Mean:102.834;
Variance:584.953;
Standard deviation:24.1858;
Relative min size:1;
Relative max size:3.14815;
Relative Mean:1.90434;
Relative Variance:0.200601;
Relative standard deviation:0.447885;
Cell size:170;
Size:54; Num of dots: 1;
Size:55; Num of dots: 1;
Size:56; Num of dots: 1;
Size:57; Num of dots: 1;
Size:58; Num of dots: 1;
Size:59; Num of dots: 1;
Size:60; Num of dots: 1;
Size:61; Num of dots: 1;
Size:62; Num of dots: 1;
Size:63; Num of dots: 3;
Size:64; Num of dots: 1;
Size:65; Num of dots: 2;
Size:66; Num of dots: 1;
Size:67; Num of dots: 2;
Size:68; Num of dots: 1;
Size:69; Num of dots: 2;
Size:70; Num of dots: 2;
Size:71; Num of dots: 2;
Size:72; Num of dots: 3;
Size:73; Num of dots: 3;
Size:74; Num of dots: 1;
Size:75; Num of dots: 3;
Size:76; Num of dots: 1;
Size:77; Num of dots: 7;
Size:78; Num of dots: 2;
Size:79; Num of dots: 4;
Size:80; Num of dots: 6;
Size:81; Num of dots: 4;
Size:82; Num of dots: 4;
Size:83; Num of dots: 4;
Size:84; Num of dots: 2;
Size:85; Num of dots: 6;
Size:86; Num of dots: 1;
Size:87; Num of dots: 3;
Size:88; Num of dots: 1;
Size:89; Num of dots: 2;
Size:90; Num of dots: 2;
Size:91; Num of dots: 3;
Size:92; Num of dots: 3;
Size:93; Num of dots: 6;
Size:94; Num of dots: 6;
Size:95; Num of dots: 6;
Size:96; Num of dots: 3;
Size:97; Num of dots: 4;
Size:98; Num of dots: 3;
Size:99; Num of dots: 1;
Size:100; Num of dots: 1;
Size:101; Num of dots: 4;
Size:102; Num of dots: 1;
Size:103; Num of dots: 1;
Size:104; Num of dots: 2;
Size:105; Num of dots: 2;
Size:106; Num of dots: 1;
Size:107; Num of dots: 3;
Size:108; Num of dots: 2;
Size:109; Num of dots: 2;
Size:110; Num of dots: 2;
Size:111; Num of dots: 3;
Size:112; Num of dots: 2;
Size:113; Num of dots: 5;
Size:114; Num of dots: 3;
Size:115; Num of dots: 6;
Size:116; Num of dots: 6;
Size:117; Num of dots: 4;
Size:118; Num of dots: 2;
Size:119; Num of dots: 1;
Size:120; Num of dots: 3;
Size:121; Num of dots: 2;
Size:122; Num of dots: 2;
Size:123; Num of dots: 1;
Size:124; Num of dots: 3;
Size:125; Num of dots: 2;
Size:126; Num of dots: 2;
Size:127; Num of dots: 5;
Size:128; Num of dots: 4;
Size:129; Num of dots: 1;
Size:130; Num of dots: 2;
Size:131; Num of dots: 3;
Size:132; Num of dots: 2;
Size:133; Num of dots: 3;
Size:134; Num of dots: 2;
Size:135; Num of dots: 2;
Size:136; Num of dots: 2;
Size:137; Num of dots: 2;
Size:138; Num of dots: 2;
Size:139; Num of dots: 2;
Size:140; Num of dots: 2;
Size:141; Num of dots: 2;
Size:142; Num of dots: 2;
Size:143; Num of dots: 1;
Size:144; Num of dots: 1;
Size:145; Num of dots: 1;
Size:146; Num of dots: 1;
Size:147; Num of dots: 1;
Size:148; Num of dots: 1;
Size:149; Num of dots: 1;
Size:150; Num of dots: 1;
Size:151; Num of dots: 3;
Size:152; Num of dots: 1;
Size:153; Num of dots: 1;
Size:154; Num of dots: 2;
Size:155; Num of dots: 1;
Size:156; Num of dots: 2;
Size:157; Num of dots: 1;
Size:158; Num of dots: 1;
Size:159; Num of dots: 1;
Size:160; Num of dots: 1;
Size:161; Num of dots: 1;
Size:162; Num of dots: 1;
Size:163; Num of dots: 1;
Size:164; Num of dots: 1;
Size:165; Num of dots: 1;
Size:166; Num of dots: 1;
Size:167; Num of dots: 1;
Size:168; Num of dots: 1;
Size:169; Num of dots: 1;
Size:170; Num of dots: 1;
